sentence,pretrained_ppl,finetuned_ppl,ppl_delta,pretrained_top5,finetuned_top5
nenu ikkadiki vastunnanu,2016.87,87.19,1929.68,"k, , n, ,, j","k, v, n, mar, "
meeru ela unnaru,2816.4,111.5,2704.9,"el, ., ,, de, en","v, k, n, che, mar"
nuvvu ela unnav,2887.41,481.16,2406.25,"o, ajo, ig, v, ar","u, am, aku, ak, ad"
okka nimisham agu,1387.35,242.08,1145.27,"k, ., n, ,, sh","k, n, v, mar, pr"
naku Telugu vastundi,3038.52,290.83,2747.69,", ,, ., (, k","v, k, n, mar, tel"
idi chala kashtanga undi,931.7,77.69,854.01,"k, ch, n, ., ,","k, v, ch, mar, n"
mee peru enti,518.18,117.25,400.93,",, per, ., qu, e","v, k, mar, che, n"
nenu intiki veltunna,12197.5,2061.61,10135.89,",, ., vel, (, ;","k, v, n, mar, pr"
manaku chala pani undi,1513.01,142.26,1370.75,"k, ,, ., p, n","v, k, ch, pr, n"
ikkade kurchoni matladamu,2137.27,697.88,1439.39,"k, ,, ., (, n","k, v, mar, n, pr"
mee number ivvagalara,12319.65,1613.09,10706.56,"., ,, , (, -","k, n, v, mar, pr"
adi evaru chepparu,9634.5,344.94,9289.56,"che, ,, ., k, (","k, v, n, mar, pr"
reyyi chala baagundi,1931.47,225.53,1705.94,",, ., (, k, n","k, v, ch, mar, n"
nenu maatladatam nerchukuntunna,2361.98,250.45,2111.53,"., ,, at, t, k","k, v, n, mar, pr"
mee inti address cheppandi,3972.04,237.51,3734.53,",, ., de, e, )","k, mar, v, che, n"
